settlement_date,perfect_qr_availability_gbp,forecast_selected_qr_availability_gbp,naive_selected_qr_availability_gbp,forecast_capture_pct,naive_capture_pct,forecast_regret_gbp,naive_regret_gbp,forecast_mean_abs_commitment_error_mw,naive_mean_abs_commitment_error_mw,forecast_mean_pqr_mw,forecast_mean_nqr_mw,naive_mean_pqr_mw,naive_mean_nqr_mw,perfect_mean_pqr_mw,perfect_mean_nqr_mw
2026-06-12,3346.875,3245.5,3101.75,96.97105508870214,92.67600373482726,101.375,245.125,8.854166666666666,4.166666666666667,18.229166666666668,6.770833333333333,21.354166666666668,3.125,21.875,2.6041666666666665
2026-06-13,4344.25,3944.75,3495.125,90.80393623755539,80.45404845485412,399.5,849.125,8.333333333333334,7.8125,18.75,6.25,21.875,2.6041666666666665,20.833333333333332,4.166666666666667
2026-06-14,3493.75,1802.125,1283.75,51.58139534883721,36.74418604651163,1691.625,2210.0,28.645833333333332,34.895833333333336,19.791666666666668,5.208333333333333,20.833333333333332,4.166666666666667,9.375,15.104166666666666
2026-06-15,3583.5,3359.625,2515.125,93.75261615738803,70.18627040602763,223.875,1068.375,11.458333333333334,21.354166666666668,17.1875,7.8125,9.375,15.104166666666666,13.020833333333334,10.9375
2026-06-16,2573.0,2461.75,2433.625,95.67625340069958,94.58317139525845,111.25,139.375,9.895833333333334,9.895833333333334,17.1875,7.8125,13.020833333333334,10.9375,15.104166666666666,9.375
2026-06-17,3946.75,3765.25,3374.25,95.40127953379363,85.49439412174574,181.5,572.5,9.375,9.895833333333334,17.1875,7.8125,15.104166666666666,9.375,12.5,12.5
2026-06-18,4027.625,3917.125,3707.375,97.25644765835945,92.04866391483814,110.5,320.25,7.291666666666667,9.375,17.708333333333332,7.291666666666667,12.5,12.5,14.0625,10.9375
2026-06-19,4537.0,4194.25,4440.25,92.44544853427375,97.86753361251928,342.75,96.75,8.333333333333334,10.416666666666666,17.1875,7.8125,14.0625,10.9375,16.145833333333332,8.854166666666666
2026-06-20,2747.375,2583.375,2651.125,94.03066563537922,96.4966558988125,164.0,96.25,8.333333333333334,10.416666666666666,16.145833333333332,8.854166666666666,16.145833333333332,8.854166666666666,13.020833333333334,11.979166666666666
2026-06-21,2109.25,1964.625,1906.5,93.14329738058552,90.38757852317174,144.625,202.75,14.583333333333334,13.541666666666666,15.625,9.375,13.020833333333334,11.979166666666666,17.708333333333332,7.291666666666667
2026-06-22,4855.375,4478.75,3707.125,92.24313261076642,76.35095126535026,376.625,1148.25,7.8125,13.020833333333334,17.1875,7.8125,17.708333333333332,7.291666666666667,13.020833333333334,11.458333333333334
2026-06-23,3969.75,3679.625,3677.375,92.69160526481517,92.63492663265949,290.125,292.375,11.458333333333334,11.979166666666666,15.625,9.375,13.020833333333334,11.458333333333334,19.270833333333332,5.729166666666667
2026-06-25,5037.0,4727.985000000001,4231.125,93.86509827278142,84.00089338892198,309.0149999999994,805.875,12.5,12.5,15.625,9.375,14.583333333333334,10.416666666666666,17.708333333333332,7.291666666666667
2026-06-26,4604.5,4111.32,3325.5,89.289173634488,72.22282549679662,493.1800000000003,1279.0,12.5,17.708333333333332,16.145833333333332,8.854166666666666,17.708333333333332,7.291666666666667,13.020833333333334,11.979166666666666
2026-06-27,3740.5,3687.0,3361.5,98.56970993182729,89.86766475070178,53.5,379.0,6.25,10.416666666666666,15.104166666666666,9.895833333333334,13.020833333333334,11.979166666666666,17.1875,7.8125
2026-06-28,4480.75,4084.25,4275.125,91.15103498298276,95.41092451040562,396.5,205.625,11.458333333333334,7.291666666666667,16.145833333333332,8.854166666666666,17.1875,7.8125,15.625,9.375
2026-06-29,5571.375,5085.625,4807.875,91.28132642301048,86.29602207713536,485.75,763.5,10.416666666666666,16.666666666666668,15.625,9.375,15.625,9.375,13.541666666666666,11.458333333333334
2026-06-30,5487.5,4599.625,4686.0,83.82004555808656,85.39407744874715,887.875,801.5,15.104166666666666,11.979166666666666,16.145833333333332,8.854166666666666,13.541666666666666,11.458333333333334,14.583333333333334,9.895833333333334
