service_date,delivery_start_utc,product,family,direction,window_hours,cleared_volume_mw,clearing_price_gbp_per_mw_per_hour,forecast_clearing_price_gbp_per_mw_per_hour,prior_same_window_price_gbp_per_mw_per_hour,naive_clearing_price_gbp_per_mw_per_hour
2026-05-01,2026-05-01 13:00:00+00:00,NSR,Slow Reserve,downward,0.5,0,0.0,0.0,0.0,0.0
2026-05-01,2026-05-01 13:00:00+00:00,PBR,Balancing Reserve,upward,0.5,495,1.97,1.9153335846882766,2.4,2.4
2026-05-01,2026-05-01 13:00:00+00:00,PQR,Quick Reserve,upward,0.5,500,1.75,1.3796931924764333,0.48,0.48
2026-05-01,2026-05-01 13:00:00+00:00,PSR,Slow Reserve,upward,0.5,1802,3.51,3.3106545623922172,2.0,2.0
2026-05-01,2026-05-01 13:30:00+00:00,NBR,Balancing Reserve,downward,0.5,0,0.0,0.0,0.0,0.0
2026-05-01,2026-05-01 13:30:00+00:00,NQR,Quick Reserve,downward,0.5,300,5.0,12.111765108997682,18.85,18.85
2026-05-01,2026-05-01 13:30:00+00:00,NSR,Slow Reserve,downward,0.5,0,0.0,0.0,0.0,0.0
2026-05-01,2026-05-01 13:30:00+00:00,PBR,Balancing Reserve,upward,0.5,495,1.75,1.9470627377548828,2.27,2.27
2026-05-01,2026-05-01 13:30:00+00:00,PQR,Quick Reserve,upward,0.5,512,0.01,0.8497952983578296,0.48,0.48
2026-05-01,2026-05-01 13:30:00+00:00,PSR,Slow Reserve,upward,0.5,1802,3.51,3.2810370164033515,2.0,2.0
2026-05-01,2026-05-01 14:00:00+00:00,DCH,Dynamic Containment,downward,4.0,1244,1.29,4.601391367041874,6.75,6.75
2026-05-01,2026-05-01 14:00:00+00:00,DCL,Dynamic Containment,upward,4.0,1266,2.05,1.5830619597499611,2.81,2.81
