settlement_date,settlement_period,wind_share,actual_mw,old_lower_mw,old_upper_mw,new_lower_mw,new_upper_mw
2026-04-23,47,1.0,16.61212404550412,11.26997186927868,19.80824146883611,11.33598167565892,21.650991531611847
2026-04-23,48,1.0,15.80177653108929,10.738384981715521,19.33286680693053,10.64409425386818,21.023098827117682
2026-04-24,1,1.0,15.49010441016051,9.520197661936939,17.044968406359352,8.9172380137097,18.76025096879152
2026-04-24,2,1.0,14.44600280504908,8.885691691238181,16.352728594751092,8.31818159687319,17.93406154862258
2026-04-24,3,1.0,13.588904472494931,7.617455015087561,14.834171582307732,7.35865952604456,16.54968236777898
2026-04-24,4,1.0,12.3422159887798,6.671482715183881,13.824124474735001,6.10267023579756,14.04767081329061
2026-04-24,5,1.0,12.155212716222529,6.44100794511475,13.565663626130469,5.811452070959669,14.12317807933912
2026-04-24,6,1.0,12.01496026180458,6.55810648518243,13.710748244733551,5.886862589417801,14.93667710900003
2026-04-24,7,1.0,12.49805204924419,6.86061420504485,14.05245706146428,6.1604944946263,15.270536147797669
2026-04-24,8,1.0,11.96820944366526,7.1615855696743,14.442414630861023,6.625694199963849,15.53064569080031
2026-04-24,9,1.0,11.142278323203989,7.155207127625269,14.43603618881199,6.546648151255841,14.167741656097391
2026-04-24,10,1.0,10.45659965716066,6.45347798185983,13.60611974141095,5.76386649240858,13.11316777103268
2026-04-24,11,1.0,10.269596384603389,5.7399735077623495,12.705353534008712,5.25837692465966,12.20336877800217
2026-04-24,12,1.0,10.06700950599968,5.34056867287782,12.26824883201286,4.85572964163462,11.56995958438513
2026-04-24,13,1.0,9.926757051581731,5.47026241944459,12.397942578579631,4.88537146711626,11.65320264475033
2026-04-24,14,1.0,9.474832476235,5.42294676230577,12.35062692144081,4.29047707627525,11.274879741551839
2026-04-24,15,1.0,8.83590462833099,5.21453167126802,12.14221183040306,4.12375000684705,10.86001786299763
2026-04-24,16,1.0,8.16580956833411,5.27011076734689,12.19779092648193,3.3948368987454702,10.25414463452166
2026-04-24,17,1.0,7.168458781362,5.045241069060831,11.97292122819587,2.97258673707518,10.01761951008617
2026-04-24,18,1.0,6.54511453950444,4.3464205674949,11.274100726629941,2.64339719511431,9.28992407085961
2026-04-24,19,1.0,6.01527193392551,3.40966018663075,10.337340345765792,1.9389216447074802,8.29992208964573
2026-04-24,20,1.0,6.03085553997194,3.7899359576525993,10.71761611678764,2.05880807796627,8.719234285770849
2026-04-24,21,1.0,5.93735390369331,4.71641043947366,11.6440905986087,2.55334177442593,9.72565219544596
2026-04-24,22,1.0,5.99968832787907,5.0407148413482,11.968395000483241,2.89303456781083,10.08043529653347
2026-04-24,23,1.0,5.87501947950755,5.14556909726289,12.073249256397931,3.08594360083859,10.19694497859759
2026-04-24,24,1.0,6.20227520648278,5.54679180310395,12.47447196223899,3.40890574904943,10.74403995534138
2026-04-24,25,1.0,6.6074489636901905,6.095978903407251,13.083246236826621,3.74087268679055,11.53417895208843
2026-04-24,26,1.0,6.7788686302010195,6.023058580989041,13.01032591440841,3.8074985420997,11.42089676635986
2026-04-24,27,1.0,6.9970391148511695,6.121433812016641,13.108701145436012,3.8544379425567397,11.61493549346994
2026-04-24,28,1.0,7.33987844787283,6.38340938478146,13.49469312065448,3.96815886095748,11.993715320746599
2026-04-24,29,1.0,7.44896369019791,6.60256186443009,13.75520362398121,4.23402120569098,12.349017403484321
2026-04-24,30,1.0,7.76063581112669,7.31326449817449,14.60413991353009,4.89147806049969,13.236154977538511
2026-04-24,31,1.0,7.651550568801619,7.347061076820189,14.63793649217579,5.12957113191557,13.269951556184209
2026-04-24,32,1.0,7.791803023219571,7.57332621195968,14.879187147379918,5.41724326416922,13.470088081114381
2026-04-24,33,1.0,7.38662926601215,7.4525414730494886,14.777602206231158,5.29660368753729,13.285488868412228
2026-04-24,34,1.0,7.23079320554776,7.4170026571157495,14.70787807247135,5.18045807672796,13.1693432576029
2026-04-24,35,1.0,7.10612435717625,7.035372009158619,14.167732631947239,4.71564615560827,12.72042808083719
2026-04-24,36,1.0,6.91912108461898,6.82222109397698,14.0020339085767,4.536256746376361,12.47939583806223
2026-04-24,37,1.0,6.96587190275829,7.01983943535138,14.192473521169081,4.80190163863275,12.64350610015858
2026-04-24,38,1.0,7.371045659965709,6.58939593498145,13.746502835960122,4.46584415690556,12.196533603241951
2026-04-24,39,1.0,6.91912108461898,6.53457010107674,13.687211860627862,5.09001147443435,12.96460059213748
2026-04-24,40,1.0,7.68271778089449,7.256842732722091,14.537671793908814,5.75522651428899,14.362075265798621
2026-04-24,41,1.0,8.00997350786972,8.645120531654959,15.964141379124891,8.07578603103475,16.759038953364968
2026-04-24,42,1.0,8.6021505376344,8.414863984412401,15.909167219609952,8.09638952305882,17.65368548134717
2026-04-24,43,1.0,8.477481689262891,8.987352098513188,16.502260792094788,8.41751574215098,18.15390737703288
2026-04-24,44,1.0,8.2437275985663,7.631214591402379,14.92736328222915,7.257869903640509,16.63562543383304
2026-04-24,45,1.0,7.293127629733521,6.407615576082801,13.51889931195582,5.81586845831806,15.059666026519668
2026-04-24,46,1.0,6.62303256973663,4.827142458421259,11.7548226175563,4.61027896818791,13.057343074926969
2026-04-24,47,1.0,6.5918653576437505,3.5269267372908897,10.45460689642593,3.78107976972231,11.30935308688777
