settlement_date,evaluation_segment,perfect_foresight_margin_gbp,forecast_strategy_margin_gbp,naive_strategy_margin_gbp,reserve_aware_forecast_margin_gbp,reserve_corridor_feasible,mean_reserve_corridor_width_mwh
2025-10-17,development_oof,3080.197243107574,2637.482176517425,2744.8788076583132,2550.528025461857,True,130.53367536767163
2025-10-18,development_oof,1571.3194444444448,-293.77202612009455,-447.5773462781067,-190.89500947639294,True,110.629609997208
2025-10-19,development_oof,3633.180478502048,2278.9010325170666,652.3611111111109,2196.5059154889595,True,97.16463358571603
2025-10-20,development_oof,3000.7819749406553,1224.3048436410459,-1073.787382899884,645.817341474154,True,123.01556035829977
2025-10-21,development_oof,3030.0250000000015,799.1508240869127,-705.3773934024982,1015.3444602488107,True,103.7039396058476
2025-10-22,development_oof,13056.778276596482,10668.997634373878,9213.075,9199.945508148274,True,116.66437774807589
2025-10-23,development_oof,4472.54166666667,1592.4371922952419,2675.5561129773796,2998.1779634988006,True,95.09739095842845
2025-10-24,development_oof,14348.228786162887,11267.670651343804,7881.430555555557,10021.017179827139,True,91.08394863688522
2025-10-25,development_oof,6666.458042556447,5604.123682324468,3379.012635797739,4017.529284012274,True,88.98417949305633
2025-10-26,development_oof,8888.442230372113,3110.1519099138745,3356.2607293723677,3072.3946565573483,True,88.03959369909502
2025-10-27,development_oof,10857.762598888943,10149.978548917632,7080.185964991646,6645.332617198572,True,99.76926559933592
2025-10-28,development_oof,9397.71299401193,8082.317327804356,8199.48251374548,5610.731226786454,True,92.93441795246919
2025-10-29,development_oof,5610.522469521809,2981.5861481758266,2393.0448571053857,1281.8561155788416,True,100.93417189226419
2025-10-30,development_oof,3794.8430415437533,1704.5369041548875,891.8701534805324,2581.080187888022,True,103.84692684561246
2025-10-31,development_oof,7645.185063425235,5048.941622622282,2999.5760892523176,2864.9284105848756,True,89.45223038236345
2025-11-01,development_oof,7201.499025677564,5835.559975382124,986.3097393570165,4163.339123467926,True,93.89801076145926
2025-11-02,development_oof,2604.870522848262,1139.7202907551273,747.3251310514463,1305.9132928107138,True,91.01215479064429
2025-11-03,development_oof,6217.330066163629,4371.616995766063,2754.303175416355,4047.1645583006352,True,90.91371368064551
2025-11-04,development_oof,7818.912152344084,6915.659473316818,5488.566056116368,3873.7198529611505,True,88.35750371114169
2025-11-05,development_oof,3304.2800602831608,1781.0956722291517,1717.9190330184729,331.34509915096567,True,99.91709326097312
2025-11-06,development_oof,2520.6357566649585,1165.9475630825577,314.37983983002016,1219.7215830544537,True,125.2815677206771
2025-11-07,development_oof,2228.872389103417,1625.2903340467317,1162.9124964510286,1467.3442201585517,True,123.08301229853807
2025-11-08,development_oof,1849.540896131546,1087.637092123001,1070.3800044200325,952.7398326795087,True,126.32036752520257
2025-11-09,development_oof,1249.4844883243654,215.0000489694321,854.2518176512357,186.50705271784568,True,93.46439564042474
2025-11-10,development_oof,2065.766515763264,1647.8087331999482,1484.1505022668857,1111.0925643421258,True,113.47091569270053
2025-11-11,development_oof,2100.6175615006387,971.1694095472948,893.9367112362246,939.1444928632812,True,92.11461541968099
2025-11-12,development_oof,8060.526662001539,6670.309760524572,5826.0898699007785,4986.338040063718,True,100.14613945990686
2025-11-13,development_oof,6076.405854622369,5374.343254858631,4751.1768628472855,3091.1913318379793,True,98.3751878718728
2025-11-14,development_oof,3229.876146433713,2000.480308984319,1309.8143457554768,1596.69691751613,True,90.05094090131581
2025-11-15,development_oof,2365.4096552458755,1717.2599182007284,846.2443988600571,1186.634102055056,True,99.11542640055359
2025-11-16,development_oof,2295.892107290744,1345.908541478607,1609.0776940119888,1347.7792534024188,True,118.34727169067213
2025-11-17,development_oof,3916.4537248452743,3252.7194477085427,1447.3096037003863,2807.744503349223,True,110.40478475019684
2025-11-18,development_oof,1751.9081919601642,1103.5203124924421,883.4078124924437,807.174311534999,True,112.20966994385793
2025-11-19,development_oof,1070.1197735438395,722.2341424556846,268.69674039454486,361.8356726459596,True,87.56440204533949
2025-11-20,development_oof,5530.307745090107,4751.59116506766,4066.0905226249247,2926.872103385853,True,96.77583947055939
2025-11-21,development_oof,8496.851566779847,1435.477288549787,2504.312914264086,2284.870940725071,True,105.41661525016302
2025-11-22,development_oof,683.4414735867451,103.24233034010297,-2132.870972190916,-231.10801340459102,True,103.85364601968155
2025-11-23,development_oof,4000.954271032927,2533.353937736839,2417.099754036164,1959.9740458718845,True,85.65483561870303
2025-11-24,development_oof,2139.832714674528,842.3576384528286,-2180.229910516601,538.8371652215952,True,101.46535955110001
2025-11-25,development_oof,7395.618864393032,6263.428076257348,-803.8484946587203,5621.971141098691,True,111.35730764610548
2025-11-26,development_oof,3719.2698814187606,1971.0507941376356,1477.721816475146,1998.688569787651,True,97.20670873510358
2025-11-27,development_oof,3052.1666666666692,1666.0477126878525,2058.853051520662,1537.2353925542602,True,93.81140206819073
2025-11-28,development_oof,2372.172800730967,1977.2582686280098,1472.5416666666692,1248.6593075045525,True,94.51792855219054
2025-11-29,development_oof,2451.8555768668884,336.7306352859189,-976.0180727911406,70.82218425855359,True,109.05336230602677
2025-11-30,development_oof,4364.159228167306,3164.0404454706254,2459.088568873587,3114.3070607332706,True,96.78810359609243
2025-12-01,development_oof,2386.271554208319,1927.370474405606,582.1618038616991,912.6539250203654,True,91.30337669127648
2025-12-02,development_oof,4559.374225003466,4370.907165384043,3127.434324928997,3096.4039390440885,True,89.26369946973516
2025-12-03,development_oof,2851.1692731018393,1571.5539721676917,1793.798094345967,1547.3294738522159,True,92.70088955461988
2025-12-04,development_oof,598.6277700925866,-173.47077625272385,-1336.447726313985,41.85450541052512,True,102.34166023531043
2025-12-05,development_oof,2027.3888888888882,-102.97341024520733,-1640.250771041734,-31.226512961085632,True,99.63413999996897
2025-12-06,development_oof,1218.7474339366265,607.593075488147,-727.63888888889,335.361799935906,True,90.47080442744739
2025-12-07,development_oof,4627.141533485303,1581.7202444423904,1538.7042890801624,2323.333925740373,True,107.62575639885351
2025-12-08,development_oof,4658.412215610198,3875.6100416879253,3409.7369998603613,1920.0326533949114,True,88.97089361908587
2025-12-09,development_oof,5924.059089632243,4107.800681375317,4116.456352652245,4145.96899843267,True,97.46307811332802
