bmUnit,settlementDate,settlementPeriod,pair_count,bid_mean,offer_mean,spread,accepted,accepted_up,accepted_down
V__MCEND001,2026-09-02,15,2,105.0,157.5,52.5,0,0,0
V__MCEND001,2026-09-02,16,2,130.0,177.5,47.5,1,0,1
V__MCEND001,2026-09-02,17,2,161.22,176.22,15.0,1,0,0
V__MCEND001,2026-09-02,18,2,162.5,177.5,15.0,1,1,1
V__MCEND001,2026-09-02,19,2,162.5,177.5,15.0,1,1,0
V__MCEND001,2026-09-02,20,2,162.5,177.5,15.0,0,0,0
V__MCEND001,2026-09-02,21,2,162.5,177.5,15.0,1,1,1
V__MCEND001,2026-09-02,22,2,130.0,177.5,47.5,1,1,1
V__MCEND001,2026-09-02,23,2,125.0,167.5,42.5,0,0,0
V__MCEND001,2026-09-02,24,2,152.5,167.5,15.0,0,0,0
V__MCEND001,2026-09-02,25,2,155.1,170.1,15.0,1,1,1
V__MCEND001,2026-09-02,26,2,152.5,167.5,15.0,1,1,1
V__MCEND001,2026-09-02,27,1,180.0,195.0,15.0,0,0,0
V__MCEND001,2026-09-02,28,2,150.93,165.93,15.0,0,0,0
V__MCEND001,2026-09-02,29,1,180.0,195.0,15.0,0,0,0
V__MCEND001,2026-09-02,30,2,150.0,157.5,7.5,0,0,0
V__MCEND001,2026-09-02,31,2,150.0,157.5,7.5,1,1,1
V__MCEND001,2026-09-02,32,2,156.905,164.405,7.5,1,1,1
V__MCEND001,2026-09-02,33,2,154.57999999999998,162.07999999999998,7.5,1,1,1
V__MCEND001,2026-09-02,34,2,155.16,170.16,15.0,1,1,1
V__MCEND001,2026-09-02,35,2,157.5,172.5,15.0,1,1,1
V__MCEND001,2026-09-02,36,2,157.5,172.5,15.0,1,1,1
V__MCEND001,2026-09-02,37,1,125.0,140.0,15.0,1,1,1
V__MCEND001,2026-09-02,38,2,157.5,172.5,15.0,1,1,0
V__MCEND001,2026-09-02,39,1,125.0,140.0,15.0,1,1,1
V__MCEND001,2026-09-02,40,2,125.0,177.5,52.5,1,1,1
V__MCEND001,2026-09-02,41,2,125.0,177.5,52.5,1,1,1
V__MCEND001,2026-09-02,42,2,161.855,176.85500000000002,15.000000000000028,1,1,1
V__MCEND001,2026-09-02,43,2,161.45,176.45,15.0,1,1,1
V__MCEND001,2026-09-02,44,2,150.25,165.25,15.0,1,1,0
V__MCEND001,2026-09-02,45,2,149.695,164.695,15.0,0,0,0
V__MCEND001,2026-09-02,46,2,152.945,167.945,15.0,0,0,0
V__MCEND001,2026-09-02,47,2,127.5,142.5,15.0,0,0,0
V__MCEND001,2026-09-02,48,2,127.5,142.5,15.0,1,1,1
V__MCEND001,2026-09-03,1,2,127.5,142.5,15.0,1,1,1
V__MCEND001,2026-09-03,2,2,127.5,142.5,15.0,0,0,0
V__MCEND001,2026-09-03,3,2,122.5,137.5,15.0,0,0,0
V__MCEND001,2026-09-03,4,2,122.5,137.5,15.0,0,0,0
V__MCEND001,2026-09-03,5,2,122.5,137.5,15.0,0,0,0
V__MCEND001,2026-09-03,6,2,122.5,137.5,15.0,0,0,0
V__MCEND001,2026-09-03,7,2,115.0,130.0,15.0,0,0,0
V__MCEND001,2026-09-03,8,2,115.0,130.0,15.0,1,1,0
V__MCEND001,2026-09-03,9,2,115.0,130.0,15.0,1,1,1
V__MCEND001,2026-09-03,10,2,115.0,130.0,15.0,1,1,1
V__MCEND001,2026-09-03,11,2,110.0,125.0,15.0,1,1,1
V__MCEND001,2026-09-03,12,2,60.0,125.0,65.0,1,1,1
V__MCEND001,2026-09-03,13,2,60.0,125.0,65.0,1,1,1
V__MCEND001,2026-09-03,14,2,60.0,125.0,65.0,1,0,1
V__MCEND001,2026-09-03,15,2,35.0,112.5,77.5,1,1,1
V__MCEND001,2026-09-03,16,2,35.0,112.5,77.5,0,0,0
V__MCEND001,2026-09-03,17,2,35.0,112.5,77.5,0,0,0
V__MCEND001,2026-09-03,18,2,35.0,112.5,77.5,0,0,0
V__MCEND001,2026-09-03,19,2,30.0,100.0,70.0,0,0,0
V__MCEND001,2026-09-03,20,2,30.0,100.0,70.0,0,0,0
