portfolio_type,settlement_date,gross_exposure_before_gbp,gross_exposure_after_gbp,signed_cashflow_before_gbp,signed_cashflow_after_gbp,absolute_imbalance_before_mwh,absolute_imbalance_after_mwh,peak_system_price_gbp_per_mwh,gross_exposure_reduction_gbp
mixed,2025-10-20,3010.5896086939288,1621.8707741730434,-557.8372479275826,-1621.8707741730434,42.99131818863124,22.911267923963685,122.95,1388.7188345208854
mixed,2025-10-21,3629.1292762882654,69.52255473974813,299.9477284215927,69.52255473974813,47.12185143625348,0.8203248815445683,126.5,3559.6067215485173
mixed,2025-10-22,5398.304262933249,687.7573576182093,3720.9949412917704,687.7573576182093,52.59962407207512,4.523540319492609,315.1,4710.54690531504
mixed,2025-10-23,3902.912342327753,836.4832590387108,-3698.661644353499,-830.9723263627367,59.325079793978944,14.126975175072772,115.0,3066.429083289042
mixed,2025-10-24,3441.4163167420925,3330.2718139556646,-3201.5571915104383,-3172.2221842519953,79.4502333947535,77.633494852463,100.28,111.14450278642789
mixed,2025-10-25,2147.3853352856445,2125.85747499914,-1600.0300224730784,-1592.8341051030277,84.16668114724055,83.20971964302177,108.3,21.52786028650462
mixed,2025-10-26,3058.9951376423505,2215.571053247522,-1900.2289690872676,-1746.4054715815175,87.26247891426604,70.58210748803343,111.5,843.4240843948287
mixed,2025-10-27,4768.665328350933,750.0989466179267,1165.2906492012096,-358.64185365331605,80.45270701882373,23.099076529411708,129.53,4018.5663817330064
mixed,2025-10-28,2475.594196926663,23.11141018755984,-1900.1090946028296,-23.11141018755984,43.05952149222133,0.5275373245277297,125.26143070550546,2452.482786739103
mixed,2025-10-29,5429.993962703215,2066.5926775746075,4274.424965803972,1517.011901544389,70.9939185448875,25.417473883184513,125.0,3363.401285128608
mixed,2025-10-30,6910.114486935907,3187.63015917503,-6855.916119615464,-3187.63015917503,82.9647367218811,40.13925634139804,107.2,3722.484327760877
mixed,2025-10-31,4503.3683556845235,3969.676411548263,-4178.054743074489,-3964.045901466733,70.76297100689821,60.805396357715416,104.85,533.6919441362606
mixed,2025-11-01,3681.3850414329518,3529.114371871775,-2301.535795719173,-2294.2828131874526,79.35772179628873,77.91194793965298,106.5,152.27066956117687
mixed,2025-11-02,6309.892332128637,1142.5840418549005,3310.811351478291,995.6502450800127,73.1840779138631,14.630856404978571,110.0,5167.308290273736
mixed,2025-11-03,4195.398787949774,3140.5825590055065,-4058.022402046252,-3003.2061731019844,99.6188684535665,74.0471989614794,110.0,1054.816228944267
mixed,2025-11-04,6884.006142040908,3103.831338062547,2945.9901324538373,-834.184671524524,102.13523089329087,64.18789897127033,144.0,3780.1748039783615
mixed,2025-11-05,4918.87862310377,1511.4740252393972,-1672.9895915294817,1511.4740252393972,59.040941122951395,25.746445789695695,160.0,3407.404597864373
mixed,2025-11-06,4275.032715247239,539.4331900538806,2820.057969300799,539.4331900538806,48.99869763292748,6.54337937835578,139.9,3735.5995251933587
mixed,2025-11-07,3021.6121654918675,197.1619051762424,204.6547526357037,197.1619051762424,37.551685252604436,2.683866047258325,125.0,2824.450260315625
mixed,2025-11-08,3054.8118116091277,168.9998771861363,-2685.355019236433,168.9998771861363,41.80539762232188,2.6055337898117235,117.9,2885.8119344229913
mixed,2025-11-09,6803.873602878588,2742.832135320715,4693.806512120162,1202.3714820331188,81.32523353788986,39.94377160776721,111.89,4061.0414675578727
mixed,2025-11-10,2849.2331603482185,0.0,-1305.658961618146,0.0,42.73449704924452,0.0,110.6,2849.2331603482185
mixed,2025-11-11,4311.959106657686,1943.6021002109326,3360.9894707693156,1943.6021002109326,57.94430842212482,25.356243821067444,106.9,2368.357006446753
mixed,2025-11-12,3294.9687908987557,0.0,502.71191880174274,0.0,67.98093482728906,0.0,101.25,3294.9687908987557
mixed,2025-11-13,4531.857304458344,3210.2210149030207,-3910.015996125656,-3210.2210149030207,86.84340062031777,61.97309978573835,104.25,1321.636289555323
mixed,2025-11-14,3716.1623574727337,1356.4569221713325,877.0837807881185,-1356.4569221713325,51.23244383486309,21.512785766579057,103.5,2359.705435301401
mixed,2025-11-15,2030.9512741024814,0.0,-808.6927967439754,0.0,24.23701701186583,0.0,123.43,2030.9512741024814
mixed,2025-11-16,3190.9513782098816,1268.343627733617,-3190.9513782098816,-1268.343627733617,35.05875876583296,13.037043035648445,123.5,1922.6077504762645
mixed,2025-11-17,1888.4479808208719,1443.8412839943308,-1166.9730968719284,-1443.8412839943308,24.739912650461765,19.70953024472228,164.45,444.6066968265411
mixed,2025-11-18,3953.6596079982423,1459.2070308137434,-2195.1261559111936,-1459.2070308137434,44.730284185259976,16.63970791509165,130.0,2494.452577184499
mixed,2025-11-19,12430.576607811354,12430.576607811354,-12430.576607811354,-12430.576607811354,134.6847541849625,134.6847541849625,117.0,0.0
mixed,2025-11-20,5950.19216487995,3153.020545160349,-355.8489254407474,-3153.020545160349,58.00991131095115,33.812770332127464,159.53,2797.171619719601
mixed,2025-11-21,3120.4019213132206,194.16300265117366,710.156136764893,194.16300265117366,31.333659919712026,1.4644488893322243,247.3104,2926.2389186620467
mixed,2025-11-22,4005.7237265141307,2784.113229334672,3549.8975733873385,2784.113229334672,48.52523752507744,35.08353637733728,117.4,1221.610497179459
mixed,2025-11-23,7081.878202730593,1884.677936308982,1897.0368499921435,1884.677936308982,95.00168499010556,34.739879777551074,112.89,5197.200266421612
mixed,2025-11-24,7479.098417316551,3806.309016878062,-7468.585357537946,-3806.309016878062,91.57550180589897,49.18023867373675,129.0,3672.789400438489
mixed,2025-11-25,1946.2201020379648,547.0580927577722,-174.0936437860538,-547.0580927577722,21.876923691618217,7.594292767207166,203.37,1399.1620092801927
mixed,2025-11-26,6336.8649806603735,3323.856724537298,-3299.7859362392846,-3323.856724537298,84.36232447082358,52.16093231390261,135.0,3013.0082561230756
mixed,2025-11-27,2716.2293112308635,2669.314773616531,-2672.650148546076,-2669.314773616531,44.176442446196944,43.497381609298046,106.75,46.9145376143324
mixed,2025-11-28,3660.4795141987584,3204.3351174006743,-3172.5780150077985,-3204.3351174006743,46.06699184571268,40.440425714018104,108.0,456.144396798084
mixed,2025-11-29,4821.126360029261,4555.670185626396,-4367.96104481896,-4427.306982453831,88.86150413030157,82.42105801360339,102.8,265.45617440286514
mixed,2025-11-30,4806.338427495976,3490.3453451085525,-2016.9292286545149,-3205.052245649404,72.27779716583562,53.91154482439836,125.0,1315.9930823874238
mixed,2025-12-01,6239.489497504826,2256.1289486322744,3518.394044455775,2256.1289486322744,75.42665385454356,26.107501785268248,117.5,3983.360548872552
mixed,2025-12-02,6021.493401125439,5593.858958880847,5985.384140389518,5593.858958880847,73.61191301242762,66.2369491206573,122.77,427.6344422445918
mixed,2025-12-03,7213.61733918731,7213.61733918731,7213.61733918731,7213.61733918731,88.79812331404796,88.79812331404796,115.59,0.0
mixed,2025-12-04,3801.0099009926307,2729.920860955042,2624.341572055334,2729.920860955042,45.5333017235417,30.589319242391273,110.99963998559944,1071.0890400375888
mixed,2025-12-05,7083.7348283984775,3781.568565035159,-5963.181369663562,-3011.235429797821,94.21365695051297,47.954556353837006,102.32,3302.1662633633186
mixed,2025-12-06,2350.3675513624903,725.737838723022,175.85945251187155,-719.9145207921239,33.870651865685254,10.19356975040559,105.0,1624.6297126394684
mixed,2025-12-07,5831.330419292734,1547.6718597151494,657.3888532179587,-1486.0199639601478,72.75983225237971,17.894509582883085,115.5,4283.658559577585
mixed,2025-12-08,3938.0056090342496,3272.5136250476125,3262.5847411947047,3272.5136250476125,51.94798608706255,42.281000305156255,114.0,665.491983986637
mixed,2025-12-09,3818.5021228110454,508.436427203923,-3237.9009102110463,69.07263703448018,60.25754562080424,18.09384348522585,98.3,3310.0656956071225
